station_Borgo Valsugana,station_Monte Gaza,station_Parco S. Chiara,station_Piana Rotaliana,station_Riva del Garda,station_Rovereto,station_Via Bolzano,elevation,day,cos_week_day,sin_week_day,cos_hour,sin_hour,temperature,precipitation,O3_1,O3_2,O3_3,O3_diff_1,O3_diff_2,PM10_1,NO2_1,power_area_50_1,power_area_50_2,target
0,0,1,0,0,0,0,312,29,-0.9009688679024191,-0.433883739117558,-0.25881904510252063,0.9659258262890683,-0.875,0.0,2.0,2.0,3.0,0.0,-1.0,24.0,50.0,87.45047025700299,78.92247559941966,2.0
0,0,1,0,0,0,0,312,29,-0.9009688679024191,-0.433883739117558,-0.4999999999999998,0.8660254037844388,-1.175,0.0,2.0,2.0,2.0,0.0,0.0,22.0,54.0,110.263890911816,87.45047025700299,2.0
0,0,1,0,0,0,0,312,29,-0.9009688679024191,-0.433883739117558,-0.7071067811865475,0.7071067811865476,-1.275,0.0,2.0,2.0,2.0,0.0,0.0,23.0,59.0,141.47244735039754,110.263890911816,3.0
0,0,1,0,0,0,0,312,29,-0.9009688679024191,-0.433883739117558,-0.8660254037844387,0.49999999999999994,-1.225,0.0,3.0,2.0,2.0,1.0,1.0,30.0,79.0,163.8243842779277,141.47244735039754,4.0
0,0,1,0,0,0,0,312,29,-0.9009688679024191,-0.433883739117558,-0.9659258262890682,0.258819045102521,-0.0249999999999999,0.0,4.0,3.0,2.0,1.0,2.0,30.0,62.0,170.5003268883988,163.8243842779277,7.0
0,0,1,0,0,0,0,312,29,-0.9009688679024191,-0.433883739117558,-1.0,1.2246467991473532e-16,1.775,0.0,7.0,4.0,3.0,3.0,4.0,26.0,52.0,169.9508375034498,170.5003268883988,10.0
0,0,1,0,0,0,0,312,29,-0.9009688679024191,-0.433883739117558,-0.9659258262890683,-0.2588190451025208,2.95,0.0,10.0,7.0,4.0,3.0,6.0,24.0,49.0,166.29740557789165,169.9508375034498,15.0
0,0,1,0,0,0,0,312,29,-0.9009688679024191,-0.433883739117558,-0.8660254037844388,-0.4999999999999998,4.45,0.0,15.0,10.0,7.0,5.0,8.0,19.0,46.0,156.99136694070785,166.29740557789165,12.0
0,0,1,0,0,0,0,312,29,-0.9009688679024191,-0.433883739117558,-0.7071067811865479,-0.7071067811865471,5.525,0.0,12.0,15.0,10.0,-3.0,2.0,20.0,53.0,152.51744252937078,156.99136694070785,11.0
0,0,1,0,0,0,0,312,29,-0.9009688679024191,-0.433883739117558,-0.5000000000000004,-0.8660254037844384,5.975,0.0,11.0,12.0,15.0,-1.0,-4.0,21.0,58.0,151.86000668763575,152.51744252937078,4.0
0,0,1,0,0,0,0,312,29,-0.9009688679024191,-0.433883739117558,-0.25881904510252063,-0.9659258262890683,5.175,0.0,4.0,11.0,12.0,-7.0,-8.0,25.0,65.0,155.18646560442716,151.86000668763575,3.0
0,0,1,0,0,0,0,312,29,-0.9009688679024191,-0.433883739117558,-1.8369701987210297e-16,-1.0,4.475,0.0,3.0,4.0,11.0,-1.0,-8.0,35.0,79.0,163.43365499568927,155.18646560442716,3.0
0,0,1,0,0,0,0,312,29,-0.9009688679024191,-0.433883739117558,0.2588190451025203,-0.9659258262890684,3.475,0.0,3.0,3.0,4.0,0.0,-1.0,35.0,90.0,168.6331615625249,163.43365499568927,3.0
0,0,1,0,0,0,0,312,29,-0.9009688679024191,-0.433883739117558,0.5,-0.8660254037844386,2.95,0.0,3.0,3.0,3.0,0.0,0.0,36.0,81.0,165.98277103072,168.6331615625249,4.0
0,0,1,0,0,0,0,312,29,-0.9009688679024191,-0.433883739117558,0.7071067811865475,-0.7071067811865477,2.5,0.0,4.0,3.0,3.0,1.0,1.0,45.0,92.0,154.77802052574705,165.98277103072,4.0
0,0,1,0,0,0,0,312,29,-0.9009688679024191,-0.433883739117558,0.8660254037844384,-0.5000000000000004,2.225,0.0,4.0,4.0,3.0,0.0,1.0,44.0,80.0,138.0670467715349,154.77802052574705,4.0
0,0,1,0,0,0,0,312,29,-0.9009688679024191,-0.433883739117558,0.9659258262890681,-0.2588190451025215,1.875,0.0,4.0,4.0,4.0,0.0,0.0,45.0,87.0,123.1986164124126,138.0670467715349,4.0
0,0,1,0,0,0,0,312,30,-0.2225209339563146,-0.9749279121818235,0.9659258262890683,0.25881904510252074,1.6,0.0,4.0,4.0,4.0,0.0,0.0,43.0,79.0,108.85390353149324,123.1986164124126,3.0
0,0,1,0,0,0,0,312,30,-0.2225209339563146,-0.9749279121818235,0.8660254037844387,0.49999999999999994,1.35,0.0,3.0,4.0,4.0,-1.0,-1.0,36.0,73.0,86.0838614180199,108.85390353149324,3.0
0,0,1,0,0,0,0,312,30,-0.2225209339563146,-0.9749279121818235,0.7071067811865476,0.7071067811865475,1.525,0.0,3.0,3.0,4.0,0.0,-1.0,35.0,71.0,80.06904044791247,86.0838614180199,3.0
0,0,1,0,0,0,0,312,30,-0.2225209339563146,-0.9749279121818235,0.5000000000000001,0.8660254037844386,1.575,0.0,3.0,3.0,3.0,0.0,0.0,35.0,69.0,77.4429636705059,80.06904044791247,3.0
0,0,1,0,0,0,0,312,30,-0.2225209339563146,-0.9749279121818235,0.25881904510252074,0.9659258262890683,1.375,0.0,3.0,3.0,3.0,0.0,0.0,34.0,71.0,76.04186647653471,77.4429636705059,3.0
0,0,1,0,0,0,0,312,30,-0.2225209339563146,-0.9749279121818235,6.123233995736766e-17,1.0,1.025,0.0,3.0,3.0,3.0,0.0,0.0,39.0,74.0,77.86342440553572,76.04186647653471,3.0
0,0,1,0,0,0,0,312,30,-0.2225209339563146,-0.9749279121818235,-0.25881904510252063,0.9659258262890683,0.825,0.0,3.0,3.0,3.0,0.0,0.0,40.0,66.0,83.80088654330089,77.86342440553572,3.0
0,0,1,0,0,0,0,312,30,-0.2225209339563146,-0.9749279121818235,-0.4999999999999998,0.8660254037844388,0.85,0.0,3.0,3.0,3.0,0.0,0.0,38.0,65.0,100.9916124165085,83.80088654330089,3.0
0,0,1,0,0,0,0,312,30,-0.2225209339563146,-0.9749279121818235,-0.7071067811865475,0.7071067811865476,0.975,0.0,3.0,3.0,3.0,0.0,0.0,38.0,67.0,117.75005709247344,100.9916124165085,3.0
