Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2013-11-01,1,23,µg/mc
"Parco S. Chiara",PM10,2013-11-01,2,25,µg/mc
"Parco S. Chiara",PM10,2013-11-01,3,23,µg/mc
"Parco S. Chiara",PM10,2013-11-01,4,21,µg/mc
"Parco S. Chiara",PM10,2013-11-01,5,20,µg/mc
"Parco S. Chiara",PM10,2013-11-01,6,20,µg/mc
"Parco S. Chiara",PM10,2013-11-01,7,22,µg/mc
"Parco S. Chiara",PM10,2013-11-01,8,24,µg/mc
"Parco S. Chiara",PM10,2013-11-01,9,26,µg/mc
"Parco S. Chiara",PM10,2013-11-01,10,24,µg/mc
"Parco S. Chiara",PM10,2013-11-01,11,23,µg/mc
"Parco S. Chiara",PM10,2013-11-01,12,18,µg/mc
"Parco S. Chiara",PM10,2013-11-01,13,18,µg/mc
"Parco S. Chiara",PM10,2013-11-01,14,18,µg/mc
"Parco S. Chiara",PM10,2013-11-01,15,20,µg/mc
"Parco S. Chiara",PM10,2013-11-01,16,22,µg/mc
"Parco S. Chiara",PM10,2013-11-01,17,27,µg/mc
"Parco S. Chiara",PM10,2013-11-01,18,36,µg/mc
"Parco S. Chiara",PM10,2013-11-01,19,45,µg/mc
"Parco S. Chiara",PM10,2013-11-01,20,38,µg/mc
"Parco S. Chiara",PM10,2013-11-01,21,43,µg/mc
"Parco S. Chiara",PM10,2013-11-01,22,47,µg/mc
"Parco S. Chiara",PM10,2013-11-01,23,50,µg/mc
"Parco S. Chiara",PM10,2013-11-01,24,49,µg/mc
"Parco S. Chiara",PM10,2013-11-02,1,40,µg/mc
"Parco S. Chiara",PM10,2013-11-02,2,49,µg/mc
"Parco S. Chiara",PM10,2013-11-02,3,50,µg/mc
"Parco S. Chiara",PM10,2013-11-02,4,40,µg/mc
"Parco S. Chiara",PM10,2013-11-02,5,42,µg/mc
"Parco S. Chiara",PM10,2013-11-02,6,33,µg/mc
"Parco S. Chiara",PM10,2013-11-02,7,39,µg/mc
"Parco S. Chiara",PM10,2013-11-02,8,26,µg/mc
"Parco S. Chiara",PM10,2013-11-02,9,38,µg/mc
"Parco S. Chiara",PM10,2013-11-02,10,42,µg/mc
"Parco S. Chiara",PM10,2013-11-02,11,43,µg/mc
"Parco S. Chiara",PM10,2013-11-02,12,43,µg/mc
"Parco S. Chiara",PM10,2013-11-02,13,42,µg/mc
"Parco S. Chiara",PM10,2013-11-02,14,35,µg/mc
"Parco S. Chiara",PM10,2013-11-02,15,29,µg/mc
"Parco S. Chiara",PM10,2013-11-02,16,27,µg/mc
"Parco S. Chiara",PM10,2013-11-02,17,26,µg/mc
"Parco S. Chiara",PM10,2013-11-02,18,28,µg/mc
"Parco S. Chiara",PM10,2013-11-02,19,33,µg/mc
"Parco S. Chiara",PM10,2013-11-02,20,32,µg/mc
"Parco S. Chiara",PM10,2013-11-02,21,32,µg/mc
"Parco S. Chiara",PM10,2013-11-02,22,33,µg/mc
"Parco S. Chiara",PM10,2013-11-02,23,33,µg/mc
"Parco S. Chiara",PM10,2013-11-02,24,33,µg/mc
"Parco S. Chiara",PM10,2013-11-03,1,35,µg/mc
"Parco S. Chiara",PM10,2013-11-03,2,37,µg/mc
"Parco S. Chiara",PM10,2013-11-03,3,41,µg/mc
"Parco S. Chiara",PM10,2013-11-03,4,50,µg/mc
"Parco S. Chiara",PM10,2013-11-03,5,52,µg/mc
"Parco S. Chiara",PM10,2013-11-03,6,35,µg/mc
"Parco S. Chiara",PM10,2013-11-03,7,20,µg/mc
"Parco S. Chiara",PM10,2013-11-03,8,15,µg/mc
"Parco S. Chiara",PM10,2013-11-03,9,11,µg/mc
"Parco S. Chiara",PM10,2013-11-03,10,10,µg/mc
"Parco S. Chiara",PM10,2013-11-03,11,9,µg/mc
"Parco S. Chiara",PM10,2013-11-03,12,8,µg/mc
"Parco S. Chiara",PM10,2013-11-03,13,6,µg/mc
"Parco S. Chiara",PM10,2013-11-03,14,5,µg/mc
"Parco S. Chiara",PM10,2013-11-03,15,6,µg/mc
"Parco S. Chiara",PM10,2013-11-03,16,12,µg/mc
"Parco S. Chiara",PM10,2013-11-03,17,10,µg/mc
"Parco S. Chiara",PM10,2013-11-03,18,2,µg/mc
"Parco S. Chiara",PM10,2013-11-03,19,2,µg/mc
"Parco S. Chiara",PM10,2013-11-03,20,2,µg/mc
"Parco S. Chiara",PM10,2013-11-03,21,1,µg/mc
"Parco S. Chiara",PM10,2013-11-03,22,2,µg/mc
"Parco S. Chiara",PM10,2013-11-03,23,2,µg/mc
"Parco S. Chiara",PM10,2013-11-03,24,2,µg/mc
"Parco S. Chiara",PM10,2013-11-04,1,2,µg/mc
"Parco S. Chiara",PM10,2013-11-04,2,3,µg/mc
"Parco S. Chiara",PM10,2013-11-04,3,3,µg/mc
"Parco S. Chiara",PM10,2013-11-04,4,3,µg/mc
"Parco S. Chiara",PM10,2013-11-04,5,3,µg/mc
"Parco S. Chiara",PM10,2013-11-04,6,3,µg/mc
"Parco S. Chiara",PM10,2013-11-04,7,4,µg/mc
"Parco S. Chiara",PM10,2013-11-04,8,4,µg/mc
"Parco S. Chiara",PM10,2013-11-04,9,5,µg/mc
"Parco S. Chiara",PM10,2013-11-04,10,6,µg/mc
"Parco S. Chiara",PM10,2013-11-04,11,5,µg/mc
"Parco S. Chiara",PM10,2013-11-04,12,6,µg/mc
"Parco S. Chiara",PM10,2013-11-04,13,6,µg/mc
"Parco S. Chiara",PM10,2013-11-04,14,7,µg/mc
"Parco S. Chiara",PM10,2013-11-04,15,8,µg/mc
"Parco S. Chiara",PM10,2013-11-04,16,11,µg/mc
"Parco S. Chiara",PM10,2013-11-04,17,14,µg/mc
"Parco S. Chiara",PM10,2013-11-04,18,15,µg/mc
"Parco S. Chiara",PM10,2013-11-04,19,15,µg/mc
"Parco S. Chiara",PM10,2013-11-04,20,14,µg/mc
"Parco S. Chiara",PM10,2013-11-04,21,12,µg/mc
"Parco S. Chiara",PM10,2013-11-04,22,10,µg/mc
"Parco S. Chiara",PM10,2013-11-04,23,10,µg/mc
"Parco S. Chiara",PM10,2013-11-04,24,10,µg/mc
"Parco S. Chiara",PM10,2013-11-05,1,11,µg/mc
"Parco S. Chiara",PM10,2013-11-05,2,12,µg/mc
"Parco S. Chiara",PM10,2013-11-05,3,12,µg/mc
"Parco S. Chiara",PM10,2013-11-05,4,13,µg/mc
"Parco S. Chiara",PM10,2013-11-05,5,12,µg/mc
"Parco S. Chiara",PM10,2013-11-05,6,13,µg/mc
"Parco S. Chiara",PM10,2013-11-05,7,12,µg/mc
"Parco S. Chiara",PM10,2013-11-05,8,14,µg/mc
"Parco S. Chiara",PM10,2013-11-05,9,14,µg/mc
"Parco S. Chiara",PM10,2013-11-05,10,13,µg/mc
"Parco S. Chiara",PM10,2013-11-05,11,10,µg/mc
"Parco S. Chiara",PM10,2013-11-05,12,6,µg/mc
"Parco S. Chiara",PM10,2013-11-05,13,5,µg/mc
"Parco S. Chiara",PM10,2013-11-05,14,5,µg/mc
"Parco S. Chiara",PM10,2013-11-05,15,6,µg/mc
"Parco S. Chiara",PM10,2013-11-05,16,8,µg/mc
"Parco S. Chiara",PM10,2013-11-05,17,10,µg/mc
"Parco S. Chiara",PM10,2013-11-05,18,18,µg/mc
"Parco S. Chiara",PM10,2013-11-05,19,19,µg/mc
"Parco S. Chiara",PM10,2013-11-05,20,21,µg/mc
"Parco S. Chiara",PM10,2013-11-05,21,27,µg/mc
"Parco S. Chiara",PM10,2013-11-05,22,22,µg/mc
"Parco S. Chiara",PM10,2013-11-05,23,20,µg/mc
"Parco S. Chiara",PM10,2013-11-05,24,20,µg/mc
"Parco S. Chiara",PM10,2013-11-06,1,23,µg/mc
"Parco S. Chiara",PM10,2013-11-06,2,22,µg/mc
"Parco S. Chiara",PM10,2013-11-06,3,18,µg/mc
"Parco S. Chiara",PM10,2013-11-06,4,16,µg/mc
"Parco S. Chiara",PM10,2013-11-06,5,13,µg/mc
"Parco S. Chiara",PM10,2013-11-06,6,12,µg/mc
"Parco S. Chiara",PM10,2013-11-06,7,11,µg/mc
"Parco S. Chiara",PM10,2013-11-06,8,12,µg/mc
"Parco S. Chiara",PM10,2013-11-06,9,12,µg/mc
"Parco S. Chiara",PM10,2013-11-06,10,12,µg/mc
"Parco S. Chiara",PM10,2013-11-06,11,8,µg/mc
"Parco S. Chiara",PM10,2013-11-06,12,6,µg/mc
"Parco S. Chiara",PM10,2013-11-06,13,5,µg/mc
"Parco S. Chiara",PM10,2013-11-06,14,5,µg/mc
"Parco S. Chiara",PM10,2013-11-06,15,6,µg/mc
"Parco S. Chiara",PM10,2013-11-06,16,7,µg/mc
"Parco S. Chiara",PM10,2013-11-06,17,7,µg/mc
"Parco S. Chiara",PM10,2013-11-06,18,8,µg/mc
"Parco S. Chiara",PM10,2013-11-06,19,15,µg/mc
"Parco S. Chiara",PM10,2013-11-06,20,19,µg/mc
"Parco S. Chiara",PM10,2013-11-06,21,27,µg/mc
"Parco S. Chiara",PM10,2013-11-06,22,21,µg/mc
"Parco S. Chiara",PM10,2013-11-06,23,16,µg/mc
"Parco S. Chiara",PM10,2013-11-06,24,16,µg/mc
"Parco S. Chiara",PM10,2013-11-07,1,14,µg/mc
"Parco S. Chiara",PM10,2013-11-07,2,13,µg/mc
"Parco S. Chiara",PM10,2013-11-07,3,12,µg/mc
"Parco S. Chiara",PM10,2013-11-07,4,12,µg/mc
"Parco S. Chiara",PM10,2013-11-07,5,10,µg/mc
"Parco S. Chiara",PM10,2013-11-07,6,10,µg/mc
"Parco S. Chiara",PM10,2013-11-07,7,10,µg/mc
"Parco S. Chiara",PM10,2013-11-07,8,13,µg/mc
"Parco S. Chiara",PM10,2013-11-07,9,16,µg/mc
"Parco S. Chiara",PM10,2013-11-07,10,12,µg/mc
"Parco S. Chiara",PM10,2013-11-07,11,9,µg/mc
"Parco S. Chiara",PM10,2013-11-07,12,7,µg/mc
"Parco S. Chiara",PM10,2013-11-07,13,6,µg/mc
"Parco S. Chiara",PM10,2013-11-07,14,7,µg/mc
"Parco S. Chiara",PM10,2013-11-07,15,7,µg/mc
"Parco S. Chiara",PM10,2013-11-07,16,11,µg/mc
"Parco S. Chiara",PM10,2013-11-07,17,23,µg/mc
"Parco S. Chiara",PM10,2013-11-07,18,34,µg/mc
"Parco S. Chiara",PM10,2013-11-07,19,36,µg/mc
"Parco S. Chiara",PM10,2013-11-07,20,41,µg/mc
"Parco S. Chiara",PM10,2013-11-07,21,42,µg/mc
"Parco S. Chiara",PM10,2013-11-07,22,42,µg/mc
"Parco S. Chiara",PM10,2013-11-07,23,40,µg/mc
"Parco S. Chiara",PM10,2013-11-07,24,26,µg/mc
"Parco S. Chiara",PM10,2013-11-08,1,23,µg/mc
"Parco S. Chiara",PM10,2013-11-08,2,22,µg/mc
"Parco S. Chiara",PM10,2013-11-08,3,21,µg/mc
"Parco S. Chiara",PM10,2013-11-08,4,20,µg/mc
"Parco S. Chiara",PM10,2013-11-08,5,19,µg/mc
"Parco S. Chiara",PM10,2013-11-08,6,18,µg/mc
"Parco S. Chiara",PM10,2013-11-08,7,18,µg/mc
"Parco S. Chiara",PM10,2013-11-08,8,18,µg/mc
"Parco S. Chiara",PM10,2013-11-08,9,20,µg/mc
"Parco S. Chiara",PM10,2013-11-08,10,22,µg/mc
"Parco S. Chiara",PM10,2013-11-08,11,21,µg/mc
"Parco S. Chiara",PM10,2013-11-08,12,21,µg/mc
"Parco S. Chiara",PM10,2013-11-08,13,18,µg/mc
"Parco S. Chiara",PM10,2013-11-08,14,19,µg/mc
"Parco S. Chiara",PM10,2013-11-08,15,20,µg/mc
"Parco S. Chiara",PM10,2013-11-08,16,19,µg/mc
"Parco S. Chiara",PM10,2013-11-08,17,21,µg/mc
"Parco S. Chiara",PM10,2013-11-08,18,22,µg/mc
"Parco S. Chiara",PM10,2013-11-08,19,25,µg/mc
"Parco S. Chiara",PM10,2013-11-08,20,26,µg/mc
"Parco S. Chiara",PM10,2013-11-08,21,31,µg/mc
"Parco S. Chiara",PM10,2013-11-08,22,32,µg/mc
"Parco S. Chiara",PM10,2013-11-08,23,29,µg/mc
"Parco S. Chiara",PM10,2013-11-08,24,29,µg/mc
"Parco S. Chiara",PM10,2013-11-09,1,32,µg/mc
"Parco S. Chiara",PM10,2013-11-09,2,27,µg/mc
"Parco S. Chiara",PM10,2013-11-09,3,25,µg/mc
"Parco S. Chiara",PM10,2013-11-09,4,25,µg/mc
"Parco S. Chiara",PM10,2013-11-09,5,23,µg/mc
"Parco S. Chiara",PM10,2013-11-09,6,24,µg/mc
"Parco S. Chiara",PM10,2013-11-09,7,22,µg/mc
"Parco S. Chiara",PM10,2013-11-09,8,20,µg/mc
"Parco S. Chiara",PM10,2013-11-09,9,19,µg/mc
"Parco S. Chiara",PM10,2013-11-09,10,19,µg/mc
"Parco S. Chiara",PM10,2013-11-09,11,19,µg/mc
"Parco S. Chiara",PM10,2013-11-09,12,19,µg/mc
"Parco S. Chiara",PM10,2013-11-09,13,16,µg/mc
"Parco S. Chiara",PM10,2013-11-09,14,8,µg/mc
"Parco S. Chiara",PM10,2013-11-09,15,7,µg/mc
"Parco S. Chiara",PM10,2013-11-09,16,6,µg/mc
"Parco S. Chiara",PM10,2013-11-09,17,11,µg/mc
"Parco S. Chiara",PM10,2013-11-09,18,6,µg/mc
"Parco S. Chiara",PM10,2013-11-09,19,7,µg/mc
"Parco S. Chiara",PM10,2013-11-09,20,5,µg/mc
"Parco S. Chiara",PM10,2013-11-09,21,5,µg/mc
"Parco S. Chiara",PM10,2013-11-09,22,3,µg/mc
"Parco S. Chiara",PM10,2013-11-09,23,4,µg/mc
"Parco S. Chiara",PM10,2013-11-09,24,4,µg/mc
"Parco S. Chiara",PM10,2013-11-10,1,5,µg/mc
"Parco S. Chiara",PM10,2013-11-10,2,5,µg/mc
"Parco S. Chiara",PM10,2013-11-10,3,4,µg/mc
"Parco S. Chiara",PM10,2013-11-10,4,4,µg/mc
"Parco S. Chiara",PM10,2013-11-10,5,4,µg/mc
"Parco S. Chiara",PM10,2013-11-10,6,4,µg/mc
"Parco S. Chiara",PM10,2013-11-10,7,4,µg/mc
"Parco S. Chiara",PM10,2013-11-10,8,6,µg/mc
"Parco S. Chiara",PM10,2013-11-10,9,5,µg/mc
"Parco S. Chiara",PM10,2013-11-10,10,6,µg/mc
"Parco S. Chiara",PM10,2013-11-10,11,5,µg/mc
"Parco S. Chiara",PM10,2013-11-10,12,7,µg/mc
"Parco S. Chiara",PM10,2013-11-10,13,5,µg/mc
"Parco S. Chiara",PM10,2013-11-10,14,5,µg/mc
"Parco S. Chiara",PM10,2013-11-10,15,5,µg/mc
"Parco S. Chiara",PM10,2013-11-10,16,5,µg/mc
"Parco S. Chiara",PM10,2013-11-10,17,5,µg/mc
"Parco S. Chiara",PM10,2013-11-10,18,6,µg/mc
"Parco S. Chiara",PM10,2013-11-10,19,7,µg/mc
"Parco S. Chiara",PM10,2013-11-10,20,8,µg/mc
"Parco S. Chiara",PM10,2013-11-10,21,6,µg/mc
"Parco S. Chiara",PM10,2013-11-10,22,4,µg/mc
"Parco S. Chiara",PM10,2013-11-10,23,2,µg/mc
"Parco S. Chiara",PM10,2013-11-10,24,2,µg/mc
"Parco S. Chiara",PM10,2013-11-11,1,2,µg/mc
"Parco S. Chiara",PM10,2013-11-11,2,2,µg/mc
"Parco S. Chiara",PM10,2013-11-11,3,2,µg/mc
"Parco S. Chiara",PM10,2013-11-11,4,2,µg/mc
"Parco S. Chiara",PM10,2013-11-11,5,2,µg/mc
"Parco S. Chiara",PM10,2013-11-11,6,3,µg/mc
"Parco S. Chiara",PM10,2013-11-11,7,3,µg/mc
"Parco S. Chiara",PM10,2013-11-11,8,3,µg/mc
"Parco S. Chiara",PM10,2013-11-11,9,3,µg/mc
"Parco S. Chiara",PM10,2013-11-11,10,4,µg/mc
"Parco S. Chiara",PM10,2013-11-11,11,3,µg/mc
"Parco S. Chiara",PM10,2013-11-11,12,2,µg/mc
"Parco S. Chiara",PM10,2013-11-12,12,9,µg/mc
"Parco S. Chiara",PM10,2013-11-12,13,9,µg/mc
"Parco S. Chiara",PM10,2013-11-12,14,12,µg/mc
"Parco S. Chiara",PM10,2013-11-12,15,15,µg/mc
"Parco S. Chiara",PM10,2013-11-12,16,13,µg/mc
"Parco S. Chiara",PM10,2013-11-12,17,31,µg/mc
"Parco S. Chiara",PM10,2013-11-12,18,35,µg/mc
"Parco S. Chiara",PM10,2013-11-12,19,42,µg/mc
"Parco S. Chiara",PM10,2013-11-12,20,54,µg/mc
"Parco S. Chiara",PM10,2013-11-12,21,52,µg/mc
"Parco S. Chiara",PM10,2013-11-12,22,62,µg/mc
"Parco S. Chiara",PM10,2013-11-12,23,52,µg/mc
"Parco S. Chiara",PM10,2013-11-12,24,35,µg/mc
"Parco S. Chiara",PM10,2013-11-13,1,32,µg/mc
"Parco S. Chiara",PM10,2013-11-13,2,28,µg/mc
"Parco S. Chiara",PM10,2013-11-13,3,21,µg/mc
"Parco S. Chiara",PM10,2013-11-13,4,18,µg/mc
"Parco S. Chiara",PM10,2013-11-13,5,16,µg/mc
"Parco S. Chiara",PM10,2013-11-13,6,15,µg/mc
"Parco S. Chiara",PM10,2013-11-13,7,15,µg/mc
"Parco S. Chiara",PM10,2013-11-13,8,17,µg/mc
"Parco S. Chiara",PM10,2013-11-13,9,19,µg/mc
"Parco S. Chiara",PM10,2013-11-13,10,18,µg/mc
"Parco S. Chiara",PM10,2013-11-13,11,12,µg/mc
"Parco S. Chiara",PM10,2013-11-13,12,15,µg/mc
"Parco S. Chiara",PM10,2013-11-13,13,18,µg/mc
"Parco S. Chiara",PM10,2013-11-13,14,15,µg/mc
"Parco S. Chiara",PM10,2013-11-13,15,16,µg/mc
"Parco S. Chiara",PM10,2013-11-13,16,19,µg/mc
"Parco S. Chiara",PM10,2013-11-13,17,21,µg/mc
"Parco S. Chiara",PM10,2013-11-13,18,36,µg/mc
"Parco S. Chiara",PM10,2013-11-13,19,46,µg/mc
"Parco S. Chiara",PM10,2013-11-13,20,51,µg/mc
"Parco S. Chiara",PM10,2013-11-13,21,46,µg/mc
"Parco S. Chiara",PM10,2013-11-13,22,56,µg/mc
"Parco S. Chiara",PM10,2013-11-13,23,47,µg/mc
"Parco S. Chiara",PM10,2013-11-13,24,35,µg/mc
"Parco S. Chiara",PM10,2013-11-14,1,39,µg/mc
"Parco S. Chiara",PM10,2013-11-14,2,33,µg/mc
"Parco S. Chiara",PM10,2013-11-14,3,26,µg/mc
"Parco S. Chiara",PM10,2013-11-14,4,24,µg/mc
"Parco S. Chiara",PM10,2013-11-14,5,24,µg/mc
"Parco S. Chiara",PM10,2013-11-14,6,23,µg/mc
"Parco S. Chiara",PM10,2013-11-14,7,21,µg/mc
"Parco S. Chiara",PM10,2013-11-14,8,19,µg/mc
"Parco S. Chiara",PM10,2013-11-14,9,20,µg/mc
"Parco S. Chiara",PM10,2013-11-14,10,19,µg/mc
"Parco S. Chiara",PM10,2013-11-14,11,16,µg/mc
"Parco S. Chiara",PM10,2013-11-14,12,17,µg/mc
"Parco S. Chiara",PM10,2013-11-14,13,17,µg/mc
"Parco S. Chiara",PM10,2013-11-14,14,17,µg/mc
"Parco S. Chiara",PM10,2013-11-14,15,19,µg/mc
"Parco S. Chiara",PM10,2013-11-14,16,21,µg/mc
"Parco S. Chiara",PM10,2013-11-14,17,25,µg/mc
"Parco S. Chiara",PM10,2013-11-14,18,25,µg/mc
"Parco S. Chiara",PM10,2013-11-14,19,28,µg/mc
"Parco S. Chiara",PM10,2013-11-14,20,30,µg/mc
"Parco S. Chiara",PM10,2013-11-14,21,32,µg/mc
"Parco S. Chiara",PM10,2013-11-14,22,29,µg/mc
"Parco S. Chiara",PM10,2013-11-14,23,16,µg/mc
"Parco S. Chiara",PM10,2013-11-14,24,3,µg/mc
"Parco S. Chiara",PM10,2013-11-15,1,1,µg/mc
"Parco S. Chiara",PM10,2013-11-15,2,1,µg/mc
"Parco S. Chiara",PM10,2013-11-15,3,1,µg/mc
"Parco S. Chiara",PM10,2013-11-15,4,1,µg/mc
"Parco S. Chiara",PM10,2013-11-15,5,1,µg/mc
"Parco S. Chiara",PM10,2013-11-15,6,1,µg/mc
"Parco S. Chiara",PM10,2013-11-15,7,2,µg/mc
"Parco S. Chiara",PM10,2013-11-15,8,3,µg/mc
"Parco S. Chiara",PM10,2013-11-15,9,4,µg/mc
"Parco S. Chiara",PM10,2013-11-15,10,7,µg/mc
"Parco S. Chiara",PM10,2013-11-15,11,6,µg/mc
"Parco S. Chiara",PM10,2013-11-15,12,8,µg/mc
"Parco S. Chiara",PM10,2013-11-15,13,8,µg/mc
"Parco S. Chiara",PM10,2013-11-15,14,9,µg/mc
"Parco S. Chiara",PM10,2013-11-15,15,10,µg/mc
"Parco S. Chiara",PM10,2013-11-15,16,13,µg/mc
"Parco S. Chiara",PM10,2013-11-15,17,11,µg/mc
"Parco S. Chiara",PM10,2013-11-15,18,12,µg/mc
"Parco S. Chiara",PM10,2013-11-15,19,13,µg/mc
"Parco S. Chiara",PM10,2013-11-15,20,14,µg/mc
"Parco S. Chiara",PM10,2013-11-15,21,16,µg/mc
"Parco S. Chiara",PM10,2013-11-15,22,14,µg/mc
"Parco S. Chiara",PM10,2013-11-15,23,12,µg/mc
"Parco S. Chiara",PM10,2013-11-15,24,11,µg/mc
"Parco S. Chiara",PM10,2013-11-16,1,9,µg/mc
"Parco S. Chiara",PM10,2013-11-16,2,9,µg/mc
"Parco S. Chiara",PM10,2013-11-16,3,9,µg/mc
"Parco S. Chiara",PM10,2013-11-16,4,8,µg/mc
"Parco S. Chiara",PM10,2013-11-16,5,8,µg/mc
"Parco S. Chiara",PM10,2013-11-16,6,8,µg/mc
"Parco S. Chiara",PM10,2013-11-16,7,8,µg/mc
"Parco S. Chiara",PM10,2013-11-16,8,9,µg/mc
"Parco S. Chiara",PM10,2013-11-16,9,10,µg/mc
"Parco S. Chiara",PM10,2013-11-16,10,8,µg/mc
"Parco S. Chiara",PM10,2013-11-16,11,7,µg/mc
"Parco S. Chiara",PM10,2013-11-16,12,5,µg/mc
"Parco S. Chiara",PM10,2013-11-16,13,6,µg/mc
"Parco S. Chiara",PM10,2013-11-16,14,5,µg/mc
"Parco S. Chiara",PM10,2013-11-16,15,5,µg/mc
"Parco S. Chiara",PM10,2013-11-16,16,7,µg/mc
"Parco S. Chiara",PM10,2013-11-16,17,16,µg/mc
"Parco S. Chiara",PM10,2013-11-16,18,25,µg/mc
"Parco S. Chiara",PM10,2013-11-16,19,27,µg/mc
"Parco S. Chiara",PM10,2013-11-16,20,36,µg/mc
"Parco S. Chiara",PM10,2013-11-16,21,35,µg/mc
"Parco S. Chiara",PM10,2013-11-16,22,29,µg/mc
"Parco S. Chiara",PM10,2013-11-16,23,25,µg/mc
"Parco S. Chiara",PM10,2013-11-16,24,19,µg/mc
"Parco S. Chiara",PM10,2013-11-17,1,16,µg/mc
"Parco S. Chiara",PM10,2013-11-17,2,15,µg/mc
"Parco S. Chiara",PM10,2013-11-17,3,15,µg/mc
"Parco S. Chiara",PM10,2013-11-17,4,13,µg/mc
"Parco S. Chiara",PM10,2013-11-17,5,13,µg/mc
"Parco S. Chiara",PM10,2013-11-17,6,12,µg/mc
"Parco S. Chiara",PM10,2013-11-17,7,11,µg/mc
"Parco S. Chiara",PM10,2013-11-17,8,9,µg/mc
"Parco S. Chiara",PM10,2013-11-17,9,9,µg/mc
"Parco S. Chiara",PM10,2013-11-17,10,9,µg/mc
"Parco S. Chiara",PM10,2013-11-17,11,8,µg/mc
"Parco S. Chiara",PM10,2013-11-17,12,6,µg/mc
"Parco S. Chiara",PM10,2013-11-17,13,6,µg/mc
"Parco S. Chiara",PM10,2013-11-17,14,6,µg/mc
"Parco S. Chiara",PM10,2013-11-17,15,6,µg/mc
"Parco S. Chiara",PM10,2013-11-17,16,7,µg/mc
"Parco S. Chiara",PM10,2013-11-17,17,7,µg/mc
"Parco S. Chiara",PM10,2013-11-17,18,9,µg/mc
"Parco S. Chiara",PM10,2013-11-17,19,11,µg/mc
"Parco S. Chiara",PM10,2013-11-17,20,12,µg/mc
"Parco S. Chiara",PM10,2013-11-17,21,14,µg/mc
"Parco S. Chiara",PM10,2013-11-17,22,13,µg/mc
"Parco S. Chiara",PM10,2013-11-17,23,13,µg/mc
"Parco S. Chiara",PM10,2013-11-17,24,16,µg/mc
"Parco S. Chiara",PM10,2013-11-18,1,14,µg/mc
"Parco S. Chiara",PM10,2013-11-18,2,12,µg/mc
"Parco S. Chiara",PM10,2013-11-18,3,10,µg/mc
"Parco S. Chiara",PM10,2013-11-18,4,10,µg/mc
"Parco S. Chiara",PM10,2013-11-18,5,10,µg/mc
"Parco S. Chiara",PM10,2013-11-18,6,11,µg/mc
"Parco S. Chiara",PM10,2013-11-18,7,11,µg/mc
"Parco S. Chiara",PM10,2013-11-18,8,11,µg/mc
"Parco S. Chiara",PM10,2013-11-18,9,13,µg/mc
"Parco S. Chiara",PM10,2013-11-18,10,11,µg/mc
"Parco S. Chiara",PM10,2013-11-18,11,11,µg/mc
"Parco S. Chiara",PM10,2013-11-18,12,12,µg/mc
"Parco S. Chiara",PM10,2013-11-18,13,11,µg/mc
"Parco S. Chiara",PM10,2013-11-18,14,10,µg/mc
"Parco S. Chiara",PM10,2013-11-18,15,11,µg/mc
"Parco S. Chiara",PM10,2013-11-18,16,14,µg/mc
"Parco S. Chiara",PM10,2013-11-18,17,15,µg/mc
"Parco S. Chiara",PM10,2013-11-18,18,18,µg/mc
"Parco S. Chiara",PM10,2013-11-18,19,20,µg/mc
"Parco S. Chiara",PM10,2013-11-18,20,21,µg/mc
"Parco S. Chiara",PM10,2013-11-18,21,21,µg/mc
"Parco S. Chiara",PM10,2013-11-18,22,19,µg/mc
"Parco S. Chiara",PM10,2013-11-18,23,18,µg/mc
"Parco S. Chiara",PM10,2013-11-18,24,17,µg/mc
"Parco S. Chiara",PM10,2013-11-19,1,16,µg/mc
"Parco S. Chiara",PM10,2013-11-19,2,15,µg/mc
"Parco S. Chiara",PM10,2013-11-19,3,14,µg/mc
"Parco S. Chiara",PM10,2013-11-19,4,15,µg/mc
"Parco S. Chiara",PM10,2013-11-19,5,15,µg/mc
"Parco S. Chiara",PM10,2013-11-19,6,15,µg/mc
"Parco S. Chiara",PM10,2013-11-19,7,17,µg/mc
"Parco S. Chiara",PM10,2013-11-19,8,19,µg/mc
"Parco S. Chiara",PM10,2013-11-19,9,18,µg/mc
"Parco S. Chiara",PM10,2013-11-19,10,19,µg/mc
"Parco S. Chiara",PM10,2013-11-19,11,19,µg/mc
"Parco S. Chiara",PM10,2013-11-19,12,21,µg/mc
"Parco S. Chiara",PM10,2013-11-19,13,20,µg/mc
"Parco S. Chiara",PM10,2013-11-19,14,23,µg/mc
"Parco S. Chiara",PM10,2013-11-19,15,24,µg/mc
"Parco S. Chiara",PM10,2013-11-19,16,22,µg/mc
"Parco S. Chiara",PM10,2013-11-19,17,23,µg/mc
"Parco S. Chiara",PM10,2013-11-19,18,22,µg/mc
"Parco S. Chiara",PM10,2013-11-19,19,23,µg/mc
"Parco S. Chiara",PM10,2013-11-19,20,24,µg/mc
"Parco S. Chiara",PM10,2013-11-19,21,25,µg/mc
"Parco S. Chiara",PM10,2013-11-19,22,25,µg/mc
"Parco S. Chiara",PM10,2013-11-19,23,23,µg/mc
"Parco S. Chiara",PM10,2013-11-19,24,23,µg/mc
"Parco S. Chiara",PM10,2013-11-20,1,20,µg/mc
"Parco S. Chiara",PM10,2013-11-20,2,17,µg/mc
"Parco S. Chiara",PM10,2013-11-20,3,17,µg/mc
